@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %09s "SIS18_MID"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le      0.000510998928
@ CHARGE           %le                   1
@ ENERGY           %le                   1
@ PC               %le        0.9999998694
@ GAMMA            %le         1956.951268
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7199988
@ ALFA             %le        0.0452744126
@ ORBIT5           %le                  -0
@ GAMMATR          %le         4.699737352
@ Q1               %le          4.17069226
@ Q2               %le         3.279293335
@ DQ1              %le        -3.834114329
@ DQ2              %le         -6.00864556
@ DXMAX            %le         2.798900023
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         15.21497422
@ BETYMAX          %le         24.63947212
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.168250884
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %09s "-- SIS --"
@ ORIGIN           %22s "MAD-X 5.02.00 Linux 64"
@ DATE             %08s "09/08/17"
@ TIME             %08s "11.42.29"
* NAME               KEYWORD                             S                  L               ALFX               ALFY               BETX               BETY                 DX                DPX                MUX                MUY               DMUX               DMUY              ANGLE                K1L                 E1                 E2               LRAD 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "QS1F"              "QUADRUPOLE"               86.96999728               1.04        2.622107147       -5.469667202        12.50821351        17.43758261        2.562668193      -0.6267713685        1.690548767        1.338419902                  0                  0                  0          0.2947256                  0                  0                  0
 "DR4"               "DRIFT"                    87.56999728                0.6        2.244333972       -6.533481838        9.588348834        24.63947203        2.186605372      -0.6267713685        1.699272841        1.343027485                  0                  0                  0                  0                  0                  0                  0
 "QS2D"              "QUADRUPOLE"               88.60999728               1.04       -2.696703525          6.6537576        9.989692094        24.48599665        2.086335449       0.4254262686        1.717775245        1.349182953                  0                  0                  0        -0.51424984                  0                  0                  0
 "DR5"               "DRIFT"                    89.31979728             0.7098       -3.284470849        5.341398785        14.23512966        15.97183465        2.388303014       0.4254262686        1.727254106        1.354896597                  0                  0                  0                  0                  0                  0                  0
 "QS3T"              "QUADRUPOLE"               89.80019728             0.4804        1.348817224       0.5043506108        15.21497157         13.2971701        2.409041338      -0.3401805473        1.732320116        1.360277465                  0                  0                  0          0.3151424                  0                  0                  0
 "DR6"               "DRIFT"                    90.29999728             0.4998        1.256205149       0.4572026921        13.91298139        12.81658576          2.2390191      -0.3401805473        1.737788464        1.366372227                  0                  0                  0                  0                  0                  0                  0
 "DR1"               "DRIFT"                    90.94499728              0.645        1.136687765       0.3963575388        12.36956546        12.26603941        2.019602647      -0.3401805473        1.745616768        1.374563157                  0                  0                  0                  0                  0                  0                  0
 "RB"                "SBEND"                    93.56299116        2.617993878       0.6621351758       0.3944481604        7.709588033        10.12682722        1.478036997     -0.07811702003        1.788308544        1.412301002                  0                  0       0.2617993878                  0       0.1274090354       0.1274090354                  0
 "DR2"               "DRIFT"                    94.53299116               0.97       0.4811565949       0.2837598227        6.600595015        9.468965473        1.402263488     -0.07811702003        1.810017165        1.428092259                  0                  0                  0                  0                  0                  0                  0
 "RB"                "SBEND"                    97.15098504        2.617993878     0.001618416477       0.1804868293         5.34993237        8.213129685        1.539535299       0.1841438054        1.881738884        1.476063285                  0                  0       0.2617993878                  0       0.1274090354       0.1274090354                  0
